dt,AverageTemperature
1781-04-01,7.723000000000001
1781-05-01,14.866
1781-06-01,19.033
1781-07-01,23.319000000000006
1781-08-01,22.202
1781-09-01,16.221999999999998
1781-10-01,10.703
1781-11-01,3.072
1781-12-01,-1.1
1782-01-01,-5.17
1782-02-01,-3.844
1782-03-01,0.6619999999999999
1782-04-01,10.131
1782-05-01,15.515
1782-06-01,21.032
1782-07-01,21.423000000000002
1782-08-01,22.76
1782-09-01,18.039
1782-10-01,8.565999999999999
1782-11-01,2.653
1782-12-01,-1.94
1783-01-01,-5.0139999999999985
1783-02-01,-0.4500000000000002
1783-03-01,1.6269999999999998
1783-04-01,8.539
1783-05-01,15.389000000000001
1783-06-01,21.182
1783-07-01,21.486
1783-08-01,21.439
1783-09-01,14.237999999999998
1783-10-01,8.315999999999999
1783-11-01,1.221
1783-12-01,-2.21
1784-01-01,-6.08
1784-02-01,-6.4860000000000015
1784-03-01,0.7469999999999999
1784-04-01,6.1160000000000005
1784-05-01,14.21
1784-06-01,19.949
1784-07-01,22.174
1784-08-01,22.545
1784-09-01,16.374000000000002
1784-10-01,8.674
1784-11-01,5.033
1784-12-01,-2.423
1785-01-01,-5.126
1785-02-01,-3.4530000000000003
1785-03-01,-1.3430000000000002
1785-04-01,7.245
1785-05-01,13.007
1785-06-01,20.938
1785-07-01,22.188000000000002
1785-08-01,21.504
1785-09-01,15.259999999999998
1785-10-01,9.514
1785-11-01,3.874
1785-12-01,-1.681
1786-01-01,-5.301
1786-02-01,-2.107
1786-03-01,4.104
1786-04-01,8.086
1786-05-01,14.358
1786-06-01,20.754
1786-07-01,22.594
1786-08-01,20.381
1786-09-01,16.939999999999998
1786-10-01,10.736999999999998
1786-11-01,1.636
1786-12-01,-4.374
1787-01-01,-3.09
1787-02-01,-2.79
1787-03-01,3.155
1787-04-01,8.756
1787-05-01,13.978000000000002
1787-06-01,19.443
1787-07-01,21.092
1787-08-01,20.789
1787-09-01,15.412999999999998
1787-10-01,7.802
1787-11-01,4.832
1787-12-01,-1.6829999999999998
1788-01-01,-4.862
1788-02-01,-3.317
1788-03-01,2.314
1788-04-01,9.391
1788-05-01,14.692
1788-06-01,20.004
1788-07-01,23.586
1788-08-01,21.792
1788-09-01,17.230999999999998
1788-10-01,12.893999999999998
1788-11-01,6.5360000000000005
1788-12-01,-2.968
1789-01-01,-2.8510000000000004
1789-02-01,-4.862
1789-03-01,2.003
1789-04-01,8.251000000000001
1789-05-01,13.720999999999998
1789-06-01,20.584
1789-07-01,23.356
1789-08-01,22.477
1789-09-01,17.098999999999997
1789-10-01,7.883999999999999
1789-11-01,4.995
1789-12-01,0.424
1790-01-01,-1.1749999999999998
1790-02-01,-1.5950000000000002
1790-03-01,1.935
1790-04-01,6.979000000000001
1790-05-01,14.99
1790-06-01,21.148000000000003
1790-07-01,21.726
1790-08-01,22.087
1790-09-01,17.264999999999993
1790-10-01,10.396999999999998
1790-11-01,3.819
1790-12-01,-4.839
1791-01-01,-2.908
1791-02-01,-4.232
1791-03-01,4.3039999999999985
1791-04-01,9.482000000000001
1791-05-01,15.816
1791-06-01,20.21
1791-07-01,21.626
1791-08-01,21.446
1791-09-01,16.105999999999998
1791-10-01,8.367999999999999
1791-11-01,3.742
1791-12-01,-1.4769999999999999
1792-01-01,-7.1110000000000015
1792-02-01,-2.88
1792-03-01,3.3310000000000004
1792-04-01,8.685
1792-05-01,15.468
1792-06-01,19.039
1792-07-01,21.389
1792-08-01,19.875
1792-09-01,15.201999999999998
1792-10-01,10.6
1792-11-01,4.004
1792-12-01,-2.939
1793-01-01,-2.3280000000000003
1793-02-01,-1.524
1793-03-01,3.22
1793-04-01,9.645
1793-05-01,15.804
1793-06-01,20.634
1793-07-01,22.613000000000003
1793-08-01,21.763
1793-09-01,17.218
1793-10-01,9.762
1793-11-01,3.749
1793-12-01,-1.971
1794-01-01,-2.648
1794-02-01,-2.8710000000000004
1794-03-01,3.425
1794-04-01,9.443
1794-05-01,15.978000000000002
1794-06-01,19.185
1794-07-01,21.394000000000002
1794-08-01,21.4
1794-09-01,17.994
1794-10-01,9.004999999999997
1794-11-01,3.466
1794-12-01,2.2110000000000003
1795-01-01,-3.588
1795-02-01,-2.574
1795-03-01,1.838
1795-04-01,8.527000000000001
1795-05-01,14.818
1795-06-01,19.644
1795-07-01,21.383000000000006
1795-08-01,20.855
1795-09-01,16.887999999999998
1795-10-01,10.217
1795-11-01,3.23
1795-12-01,-0.6990000000000001
1796-01-01,-2.6460000000000004
1796-02-01,-2.9770000000000003
1796-03-01,0.5030000000000001
1796-04-01,9.552
1796-05-01,14.349
1796-06-01,20.021
1796-07-01,22.337
1796-08-01,21.411
1796-09-01,16.668999999999997
1796-10-01,9.794
1796-11-01,3.125
1796-12-01,-4.54
1797-01-01,-4.89
1797-02-01,0.4510000000000001
1797-03-01,2.155
1797-04-01,8.301
1797-05-01,13.598
1797-06-01,19.997
1797-07-01,23.272
1797-08-01,21.096
1797-09-01,16.089000000000002
1797-10-01,8.674
1797-11-01,1.557
1797-12-01,-4.159
1798-01-01,-2.955
1798-02-01,-3.667
1798-03-01,2.73
1798-04-01,9.147
1798-05-01,16.625999999999998
1798-06-01,21.073
1798-07-01,22.59
1798-08-01,24.464
1798-09-01,17.673
1798-10-01,11.175
1798-11-01,2.048
1798-12-01,-4.384
1799-01-01,-3.225
1799-02-01,-3.793
1799-03-01,-0.3300000000000001
1799-04-01,8.286000000000001
1799-05-01,14.396
1799-06-01,20.597
1799-07-01,22.982
1799-08-01,21.913
1799-09-01,16.863
1799-10-01,9.933
1799-11-01,4.738
1799-12-01,-2.079
1800-01-01,-3.592
1800-02-01,-2.855
1800-03-01,1.4669999999999999
1800-04-01,10.463
1800-05-01,14.637
1800-06-01,20.574
1800-07-01,23.297
1800-08-01,21.146
1800-09-01,16.767999999999994
1800-10-01,10.432
1800-11-01,2.511
1800-12-01,0.07800000000000007
1801-01-01,-3.215
1801-02-01,-2.012
1801-03-01,4.343999999999999
1801-04-01,8.004000000000001
1801-05-01,16.375
1801-06-01,19.781
1801-07-01,23.131
1801-08-01,20.889
1801-09-01,18.445
1801-10-01,10.731
1801-11-01,3.758
1801-12-01,-0.23199999999999998
1802-01-01,0.8290000000000002
1802-02-01,-2.353
1802-03-01,3.11
1802-04-01,9.1
1802-05-01,13.822000000000001
1802-06-01,20.703000000000007
1802-07-01,22.624000000000002
1802-08-01,22.267
1802-09-01,17.863
1802-10-01,12.339
1802-11-01,4.676
1802-12-01,-1.5519999999999998
1803-01-01,-3.132
1803-02-01,-0.782
1803-03-01,2.475
1803-04-01,9.643
1803-05-01,13.293
1803-06-01,21.13
1803-07-01,23.738000000000003
1803-08-01,22.357
1803-09-01,16.322999999999997
1803-10-01,11.425999999999998
1803-11-01,3.112
1803-12-01,1.2720000000000002
1804-01-01,-4.88
1804-02-01,-2.323
1804-03-01,1.272
1804-04-01,8.326
1804-05-01,16.195
1804-06-01,20.617
1804-07-01,22.868000000000002
1804-08-01,22.234
1804-09-01,19.174
1804-10-01,10.245999999999999
1804-11-01,5.268
1804-12-01,-2.767
1805-01-01,-5.061
1805-02-01,-1.5659999999999998
1805-03-01,4.454
1805-04-01,10.188
1805-05-01,15.468
1805-06-01,20.724
1805-07-01,23.392
1805-08-01,23.22
1805-09-01,18.93
1805-10-01,9.096
1805-11-01,3.732
1805-12-01,2.593
1806-01-01,-3.428
1806-02-01,-0.07200000000000006
1806-03-01,0.0049999999999998926
1806-04-01,6.867000000000001
1806-05-01,15.713
1806-06-01,20.512
1806-07-01,21.596
1806-08-01,20.887
1806-09-01,17.714000000000006
1806-10-01,10.079999999999998
1806-11-01,4.1240000000000006
1806-12-01,-1.455
1807-01-01,-5.026
1807-02-01,-3.05
1807-03-01,0.5030000000000001
1807-04-01,7.81
1807-05-01,13.751
1807-06-01,19.12
1807-07-01,23.336
1807-08-01,21.898000000000003
1807-09-01,16.374000000000002
1807-10-01,10.824000000000002
1807-11-01,2.923
1807-12-01,1.6030000000000002
1808-01-01,-3.845
1808-02-01,-1.122
1808-03-01,3.143
1808-04-01,9.132
1808-05-01,13.839
1808-06-01,20.748
1808-07-01,22.654
1808-08-01,20.09
1808-09-01,16.869999999999994
1808-10-01,9.566
1808-11-01,4.473
1808-12-01,-0.7290000000000001
1809-01-01,-5.7379999999999995
1809-02-01,-4.295
1809-03-01,1.153
1809-04-01,8.633000000000001
1809-05-01,14.791
1809-06-01,19.915
1809-07-01,20.329
1809-08-01,20.432
1809-09-01,15.252999999999998
1809-10-01,13.446
1809-11-01,1.5319999999999998
1809-12-01,0.939
1810-01-01,-3.7
1810-02-01,-0.534
1810-03-01,1.853
1810-04-01,9.89
1810-05-01,15.198
1810-06-01,20.526
1810-07-01,21.029
1810-08-01,20.704
1810-09-01,16.973999999999997
1810-10-01,9.271999999999998
1810-11-01,2.863
1810-12-01,-1.886
1811-01-01,-3.491
1811-02-01,-3.458
1811-03-01,4.295
1811-04-01,7.987
1811-05-01,14.159
1811-06-01,20.248
1811-07-01,21.857
1811-08-01,20.537
1811-09-01,16.845999999999997
1811-10-01,11.681
1811-11-01,4.148
1811-12-01,-1.706
1812-01-01,-5.771
1812-02-01,-3.806
1812-03-01,-0.8519999999999999
1812-04-01,7.471
1812-05-01,11.781
1812-06-01,18.767
1812-07-01,20.84
1812-08-01,20.186
1812-09-01,14.723999999999998
1812-10-01,9.503
1812-11-01,3.016
1812-12-01,-2.286
1813-01-01,-5.83
1813-02-01,-3.088
1813-03-01,-0.31000000000000005
1813-04-01,8.785
1813-05-01,13.556
1813-06-01,19.967
1813-07-01,21.779
1813-08-01,21.923000000000002
1813-09-01,18.632
1813-10-01,9.392
1813-11-01,4.662
1813-12-01,-2.27
1814-01-01,-5.058
1814-02-01,-1.817
1814-03-01,0.6739999999999999
1814-04-01,8.627
1814-05-01,15.390999999999998
1814-06-01,19.209
1814-07-01,20.313
1814-08-01,20.419
1814-09-01,16.255
1814-10-01,8.789
1814-11-01,3.997
1814-12-01,-2.432
1815-01-01,-4.955
1815-02-01,-4.205
1815-03-01,2.185
1815-04-01,7.874
1815-05-01,12.425
1815-06-01,18.725
1815-07-01,22.936
1815-08-01,19.732
1815-09-01,15.467
1815-10-01,8.581
1815-11-01,3.516
1815-12-01,-3.0860000000000003
1816-01-01,-4.932
1816-02-01,-3.137
1816-03-01,0.1160000000000001
1816-04-01,6.961
1816-05-01,12.914000000000001
1816-06-01,17.331
1816-07-01,19.334
1816-08-01,20.068
1816-09-01,14.39
1816-10-01,9.363999999999999
